expected,predicted,correct,confidence,latency_ms
lr,lf,False,0.901,4.8
lr,lf,False,0.813,4.3
lr,lf,False,0.584,4.1
lr,lf,False,0.914,4.5
lr,lf,False,0.44,2.1
lr,lf,False,0.741,0.9
lr,lf,False,0.511,3.1
lr,rr,False,0.492,2.9
lr,rr,False,0.641,2.2
lr,lf,False,0.576,4.4
lr,rr,False,0.602,4.4
lr,lf,False,0.73,4.3
lr,lf,False,0.77,2.2
lr,lf,False,0.658,1.3
lr,rr,False,0.56,3.9
rr,rr,True,0.44,2.5
rr,rf,False,0.742,4.5
rr,rf,False,0.529,2.7
rr,rf,False,0.58,4.5
rr,rr,True,0.4,4.4
rr,lf,False,0.86,4.6
rr,rr,True,0.636,4.4
rr,rr,True,0.814,3.7
rr,rr,True,0.477,4.4
rr,lr,False,0.488,4.5
rr,rf,False,0.488,2.5
rr,rf,False,0.699,4.6
rr,rr,True,0.673,4.5
rr,lr,False,0.54,2.7
rr,rf,False,0.487,4.7
lf,lf,True,0.942,2.1
lf,lf,True,0.857,4.5
lf,lf,True,0.993,4.4
lf,lf,True,0.932,4.3
lf,lf,True,0.892,4.6
lf,lf,True,0.921,4.4
lf,lf,True,0.93,4.6
lf,lf,True,0.917,3.7
lf,lf,True,0.892,4.6
lf,lf,True,0.912,4.5
lf,lf,True,0.652,2.4
lf,lf,True,0.781,3.6
lf,lf,True,0.62,4.2
lf,lf,True,0.576,4.0
lf,lf,True,0.828,3.5
rf,rf,True,0.619,4.6
rf,rf,True,0.712,2.9
rf,rf,True,0.83,1.9
rf,rf,True,0.898,3.4
rf,rf,True,0.721,2.0
rf,rf,True,0.809,2.1
rf,rf,True,0.792,4.4
rf,rf,True,0.933,2.7
rf,rf,True,0.701,4.4
rf,rr,False,0.542,3.2
rf,lr,False,0.363,4.3
rf,rf,True,0.835,4.5
rf,rf,True,0.375,4.4
rf,rf,True,0.416,2.9
rf,rf,True,0.785,1.8
